obs,icdcode,icdlabel,cc,addcc
1,A0101,Typhoid meningitis,3,
2,A0102,Typhoid fever with heart involvement,135,
3,A0104,Typhoid arthritis,55,
4,A0105,Typhoid osteomyelitis,55,
5,A021,Salmonella sepsis,2,
6,A0221,Salmonella meningitis,3,
7,A0223,Salmonella arthritis,55,
8,A0224,Salmonella osteomyelitis,55,
9,A064,Amebic liver abscess,35_1,
10,A065,Amebic lung abscess,163,
11,A066,Amebic brain abscess,3,
12,A072,Cryptosporidiosis,6,
13,A170,Tuberculous meningitis,3,
14,A171,Meningeal tuberculoma,3,
15,A1781,Tuberculoma of brain and spinal cord,3,
16,A1782,Tuberculous meningoencephalitis,3,
17,A1783,Tuberculous neuritis,3,
18,A1789,Other tuberculosis of nervous system,3,
19,A179,"Tuberculosis of nervous system, unspecified",3,
20,A203,Plague meningitis,3,
21,A207,Septicemic plague,2,
22,A227,Anthrax sepsis,2,
23,A267,Erysipelothrix sepsis,2,
24,A2781,Aseptic meningitis in leptospirosis,3,
25,A310,Pulmonary mycobacterial infection,6,
26,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,
27,A3211,Listerial meningitis,3,
28,A3212,Listerial meningoencephalitis,3,
29,A327,Listerial sepsis,2,
30,A3282,Listerial endocarditis,135,
31,A34,Obstetrical tetanus,3,
32,A35,Other tetanus,3,
33,A3681,Diphtheritic cardiomyopathy,130,
34,A381,Scarlet fever with myocarditis,135,
35,A390,Meningococcal meningitis,3,
36,A391,Waterhouse-Friderichsen syndrome,30,
37,A392,Acute meningococcemia,2,
38,A393,Chronic meningococcemia,2,
39,A394,"Meningococcemia, unspecified",2,
40,A3950,"Meningococcal carditis, unspecified",135,
41,A3951,Meningococcal endocarditis,135,
42,A3952,Meningococcal myocarditis,135,
43,A3953,Meningococcal pericarditis,135,
44,A3981,Meningococcal encephalitis,3,
45,A3983,Meningococcal arthritis,55,
46,A3984,Postmeningococcal arthritis,55,
47,A400,"Sepsis due to streptococcus, group A",2,
48,A401,"Sepsis due to streptococcus, group B",2,
49,A403,Sepsis due to Streptococcus pneumoniae,2,
50,A408,Other streptococcal sepsis,2,
51,A409,"Streptococcal sepsis, unspecified",2,
52,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,2,
53,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,2,
54,A411,Sepsis due to other specified staphylococcus,2,
55,A412,Sepsis due to unspecified staphylococcus,2,
56,A413,Sepsis due to Hemophilus influenzae,2,
57,A414,Sepsis due to anaerobes,2,
58,A4150,"Gram-negative sepsis, unspecified",2,
59,A4151,Sepsis due to Escherichia coli [E. coli],2,
60,A4152,Sepsis due to Pseudomonas,2,
61,A4153,Sepsis due to Serratia,2,
62,A4159,Other Gram-negative sepsis,2,
63,A4181,Sepsis due to Enterococcus,2,
64,A4189,Other specified sepsis,2,
65,A419,"Sepsis, unspecified organism",2,
66,A427,Actinomycotic sepsis,2,
67,A4281,Actinomycotic meningitis,3,
68,A4282,Actinomycotic encephalitis,3,
69,A480,Gas gangrene,153,
70,A481,Legionnaires' disease,163,
71,A483,Toxic shock syndrome,2,
72,A5004,Early congenital syphilitic pneumonia,163,
73,A5040,"Late congenital neurosyphilis, unspecified",3,
74,A5041,Late congenital syphilitic meningitis,3,
75,A5042,Late congenital syphilitic encephalitis,3,
76,A5043,Late congenital syphilitic polyneuropathy,3,
77,A5044,Late congenital syphilitic optic nerve atrophy,3,
78,A5045,Juvenile general paresis,3,
79,A5049,Other late congenital neurosyphilis,3,
80,A5054,Late congenital cardiovascular syphilis,135,
81,A5055,Late congenital syphilitic arthropathy,55,
82,A5141,Secondary syphilitic meningitis,3,
83,A5200,"Cardiovascular syphilis, unspecified",135,
84,A5201,Syphilitic aneurysm of aorta,135,
85,A5202,Syphilitic aortitis,135,
86,A5203,Syphilitic endocarditis,135,
87,A5205,Other cerebrovascular syphilis,149,
88,A5206,Other syphilitic heart involvement,135,
89,A5209,Other cardiovascular syphilis,135,
90,A5210,"Symptomatic neurosyphilis, unspecified",3,
91,A5211,Tabes dorsalis,3,
92,A5212,Other cerebrospinal syphilis,3,
93,A5213,Late syphilitic meningitis,3,
94,A5214,Late syphilitic encephalitis,3,
95,A5215,Late syphilitic neuropathy,3,
96,A5216,Charcot's arthropathy (tabetic),3,
97,A5217,General paresis,3,
98,A5219,Other symptomatic neurosyphilis,3,
99,A522,Asymptomatic neurosyphilis,3,
100,A523,"Neurosyphilis, unspecified",3,
101,A5440,"Gonococcal infection of musculoskeletal system, unspecified",55,
102,A5441,Gonococcal spondylopathy,55,
103,A5442,Gonococcal arthritis,55,
104,A5443,Gonococcal osteomyelitis,55,
105,A5449,Gonococcal infection of other musculoskeletal tissue,55,
106,A5481,Gonococcal meningitis,3,
107,A5482,Gonococcal brain abscess,3,
108,A5483,Gonococcal heart infection,135,
109,A5485,Gonococcal peritonitis,42,
110,A5486,Gonococcal sepsis,2,
111,A666,Bone and joint lesions of yaws,55,
112,A6921,Meningitis due to Lyme disease,3,
113,A6923,Arthritis due to Lyme disease,55,
114,A800,"Acute paralytic poliomyelitis, vaccine-associated",3,
115,A801,"Acute paralytic poliomyelitis, wild virus, imported",3,
116,A802,"Acute paralytic poliomyelitis, wild virus, indigenous",3,
117,A8030,"Acute paralytic poliomyelitis, unspecified",3,
118,A8039,Other acute paralytic poliomyelitis,3,
119,A804,Acute nonparalytic poliomyelitis,3,
120,A809,"Acute poliomyelitis, unspecified",3,
121,A820,Sylvatic rabies,3,
122,A821,Urban rabies,3,
123,A829,"Rabies, unspecified",3,
124,A830,Japanese encephalitis,3,
125,A831,Western equine encephalitis,3,
126,A832,Eastern equine encephalitis,3,
127,A833,St Louis encephalitis,3,
128,A834,Australian encephalitis,3,
129,A835,California encephalitis,3,
130,A836,Rocio virus disease,3,
131,A838,Other mosquito-borne viral encephalitis,3,
132,A839,"Mosquito-borne viral encephalitis, unspecified",3,
133,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],3,
134,A841,Central European tick-borne encephalitis,3,
135,A8481,Powassan virus disease,3,
136,A8489,Other tick-borne viral encephalitis,3,
137,A849,"Tick-borne viral encephalitis, unspecified",3,
138,A850,Enteroviral encephalitis,3,
139,A851,Adenoviral encephalitis,3,
140,A852,"Arthropod-borne viral encephalitis, unspecified",3,
141,A858,Other specified viral encephalitis,3,
142,A86,Unspecified viral encephalitis,3,
143,A870,Enteroviral meningitis,4,
144,A871,Adenoviral meningitis,4,
145,A872,Lymphocytic choriomeningitis,4,
146,A878,Other viral meningitis,4,
147,A879,"Viral meningitis, unspecified",4,
148,A880,Enteroviral exanthematous fever [Boston exanthem],4,
149,A888,Other specified viral infections of central nervous system,3,
150,A89,Unspecified viral infection of central nervous system,3,
151,A922,Venezuelan equine fever,3,
152,A9230,"West Nile virus infection, unspecified",3,
153,A9231,West Nile virus infection with encephalitis,3,
154,A9232,West Nile virus infection with other neurologic manifestation,3,
155,A9239,West Nile virus infection with other complications,3,
156,B003,Herpesviral meningitis,4,
157,B004,Herpesviral encephalitis,3,
158,B007,Disseminated herpesviral disease,2,
159,B0082,Herpes simplex myelitis,110,
160,B010,Varicella meningitis,4,
161,B0111,Varicella encephalitis and encephalomyelitis,3,
162,B0112,Varicella myelitis,110,
163,B020,Zoster encephalitis,3,
164,B021,Zoster meningitis,4,
165,B0224,Postherpetic myelitis,110,
166,B050,Measles complicated by encephalitis,3,
167,B051,Measles complicated by meningitis,4,
168,B0601,Rubella encephalitis,3,
169,B0602,Rubella meningitis,4,
170,B0682,Rubella arthritis,55,
171,B1001,Human herpesvirus 6 encephalitis,3,
172,B1009,Other human herpesvirus encephalitis,3,
173,B150,Hepatitis A with hepatic coma,35_1,
174,B160,Acute hepatitis B with delta-agent with hepatic coma,35_1,
175,B162,Acute hepatitis B without delta-agent with hepatic coma,35_1,
176,B1711,Acute hepatitis C with hepatic coma,35_1,
177,B180,Chronic viral hepatitis B with delta-agent,37_2,
178,B181,Chronic viral hepatitis B without delta-agent,37_2,
179,B182,Chronic viral hepatitis C,37_1,
180,B188,Other chronic viral hepatitis,37_2,
181,B189,"Chronic viral hepatitis, unspecified",37_2,
182,B190,Unspecified viral hepatitis with hepatic coma,35_1,
183,B1911,Unspecified viral hepatitis B with hepatic coma,35_1,
184,B1921,Unspecified viral hepatitis C with hepatic coma,35_1,
185,B20,Human immunodeficiency virus [HIV] disease,1,
186,B250,Cytomegaloviral pneumonitis,6,
187,B251,Cytomegaloviral hepatitis,6,
188,B252,Cytomegaloviral pancreatitis,6,47
189,B258,Other cytomegaloviral diseases,6,
190,B259,"Cytomegaloviral disease, unspecified",6,
191,B261,Mumps meningitis,4,
192,B262,Mumps encephalitis,3,
193,B263,Mumps pancreatitis,47,
194,B2682,Mumps myocarditis,135,
195,B2685,Mumps arthritis,55,
196,B2702,Gammaherpesviral mononucleosis with meningitis,4,
197,B2712,Cytomegaloviral mononucleosis with meningitis,4,
198,B2782,Other infectious mononucleosis with meningitis,4,
199,B2792,"Infectious mononucleosis, unspecified with meningitis",4,
200,B3320,"Viral carditis, unspecified",135,
201,B3321,Viral endocarditis,135,
202,B3322,Viral myocarditis,135,
203,B3323,Viral pericarditis,135,
204,B3324,Viral cardiomyopathy,130,
205,B371,Pulmonary candidiasis,6,
206,B375,Candidal meningitis,3,
207,B376,Candidal endocarditis,135,
208,B377,Candidal sepsis,2,6
209,B3781,Candidal esophagitis,6,
210,B380,Acute pulmonary coccidioidomycosis,163,
211,B381,Chronic pulmonary coccidioidomycosis,163,
212,B382,"Pulmonary coccidioidomycosis, unspecified",163,
213,B384,Coccidioidomycosis meningitis,3,
214,B390,Acute pulmonary histoplasmosis capsulati,163,
215,B391,Chronic pulmonary histoplasmosis capsulati,163,
216,B392,"Pulmonary histoplasmosis capsulati, unspecified",163,
217,B400,Acute pulmonary blastomycosis,163,
218,B401,Chronic pulmonary blastomycosis,163,
219,B402,"Pulmonary blastomycosis, unspecified",163,
220,B4081,Blastomycotic meningoencephalitis,3,
221,B410,Pulmonary paracoccidioidomycosis,163,
222,B4281,Cerebral sporotrichosis,3,
223,B4282,Sporotrichosis arthritis,55,
224,B431,Pheomycotic brain abscess,3,
225,B440,Invasive pulmonary aspergillosis,6,
226,B441,Other pulmonary aspergillosis,6,
227,B442,Tonsillar aspergillosis,6,
228,B447,Disseminated aspergillosis,6,
229,B4481,Allergic bronchopulmonary aspergillosis,162,
230,B4489,Other forms of aspergillosis,6,
231,B449,"Aspergillosis, unspecified",6,
232,B450,Pulmonary cryptococcosis,6,
233,B451,Cerebral cryptococcosis,6,
234,B452,Cutaneous cryptococcosis,6,
235,B453,Osseous cryptococcosis,6,
236,B457,Disseminated cryptococcosis,6,
237,B458,Other forms of cryptococcosis,6,
238,B459,"Cryptococcosis, unspecified",6,
239,B460,Pulmonary mucormycosis,6,
240,B461,Rhinocerebral mucormycosis,6,
241,B462,Gastrointestinal mucormycosis,6,
242,B463,Cutaneous mucormycosis,6,
243,B464,Disseminated mucormycosis,6,
244,B465,"Mucormycosis, unspecified",6,
245,B468,Other zygomycoses,6,
246,B469,"Zygomycosis, unspecified",6,
247,B484,Penicillosis,6,
248,B488,Other specified mycoses,6,
249,B5741,Meningitis in Chagas' disease,3,
250,B5742,Meningoencephalitis in Chagas' disease,3,
251,B582,Toxoplasma meningoencephalitis,6,
252,B583,Pulmonary toxoplasmosis,6,
253,B5881,Toxoplasma myocarditis,135,
254,B59,Pneumocystosis,6,
255,B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),3,
