diagcodelvl1,diagdesclvl1
a00,Cholera
a01,Typhoid and paratyphoid fevers
a02,Other salmonella infections
a03,Shigellosis
a04,Other bacterial intestinal infections
a05,"Other bacterial foodborne intoxications, not elsewhere classified"
a06,Amebiasis
a07,Other protozoal intestinal diseases
a08,Viral and other specified intestinal infections
a09,"Infectious gastroenteritis and colitis, unspecified"
a15,Respiratory tuberculosis
a17,Tuberculosis of nervous system
a18,Tuberculosis of other organs
a19,Miliary tuberculosis
a20,Plague
a21,Tularemia
a22,Anthrax
a23,Brucellosis
a24,Glanders and melioidosis
a25,Rat-bite fevers
a26,Erysipeloid
a27,Leptospirosis
a28,"Other zoonotic bacterial diseases, not elsewhere classified"
a30,Leprosy [Hansen's disease]
a31,Infection due to other mycobacteria
a32,Listeriosis
a33,Tetanus neonatorum
a34,Obstetrical tetanus
a35,Other tetanus
a36,Diphtheria
a37,Whooping cough
a38,Scarlet fever
a39,Meningococcal infection
a40,Streptococcal sepsis
a41,Other sepsis
a42,Actinomycosis
a43,Nocardiosis
a44,Bartonellosis
a46,Erysipelas
a48,"Other bacterial diseases, not elsewhere classified"
a49,Bacterial infection of unspecified site
a50,Congenital syphilis
a51,Early syphilis
a52,Late syphilis
a53,Other and unspecified syphilis
a54,Gonococcal infection
a55,Chlamydial lymphogranuloma (venereum)
a56,Other sexually transmitted chlamydial diseases
a57,Chancroid
a58,Granuloma inguinale
a59,Trichomoniasis
a60,Anogenital herpesviral [herpes simplex] infections
a63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
a64,Unspecified sexually transmitted disease
a65,Nonvenereal syphilis
a66,Yaws
a67,Pinta [carate]
a68,Relapsing fevers
a69,Other spirochetal infections
a70,Chlamydia psittaci infections
a71,Trachoma
a74,Other diseases caused by chlamydiae
a75,Typhus fever
a77,Spotted fever [tick-borne rickettsioses]
a78,Q fever
a79,Other rickettsioses
a80,Acute poliomyelitis
a81,Atypical virus infections of central nervous system
a82,Rabies
a83,Mosquito-borne viral encephalitis
a84,Tick-borne viral encephalitis
a85,"Other viral encephalitis, not elsewhere classified"
a86,Unspecified viral encephalitis
a87,Viral meningitis
a88,"Other viral infections of central nervous system, not elsewhere classified"
a89,Unspecified viral infection of central nervous system
a90,Dengue fever [classical dengue]
a91,Dengue hemorrhagic fever
a92,Other mosquito-borne viral fevers
a93,"Other arthropod-borne viral fevers, not elsewhere classified"
a94,Unspecified arthropod-borne viral fever
a95,Yellow fever
a96,Arenaviral hemorrhagic fever
a98,"Other viral hemorrhagic fevers, not elsewhere classified"
a99,Unspecified viral hemorrhagic fever
b00,Herpesviral [herpes simplex] infections
b01,Varicella [chickenpox]
b02,Zoster [herpes zoster]
b03,Smallpox
b04,Monkeypox
b05,Measles
b06,Rubella [German measles]
b07,Viral warts
b08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
b09,Unspecified viral infection characterized by skin and mucous membrane lesions
b10,Other human herpesviruses
b15,Acute hepatitis A
b16,Acute hepatitis B
b17,Other acute viral hepatitis
b18,Chronic viral hepatitis
b19,Unspecified viral hepatitis
b20,Human immunodeficiency virus [HIV] disease
b25,Cytomegaloviral disease
b26,Mumps
b27,Infectious mononucleosis
b30,Viral conjunctivitis
b33,"Other viral diseases, not elsewhere classified"
b34,Viral infection of unspecified site
b35,Dermatophytosis
b36,Other superficial mycoses
b37,Candidiasis
b38,Coccidioidomycosis
b39,Histoplasmosis
b40,Blastomycosis
b41,Paracoccidioidomycosis
b42,Sporotrichosis
b43,Chromomycosis and pheomycotic abscess
b44,Aspergillosis
b45,Cryptococcosis
b46,Zygomycosis
b47,Mycetoma
b48,"Other mycoses, not elsewhere classified"
b49,Unspecified mycosis
b50,Plasmodium falciparum malaria
