icdcode,icdlabel,diagcodelvl1,diagdesclvl1
a0101,typhoid meningitis,a01,typhoid and paratyphoid fevers
a0102,typhoid fever with heart involvement,a01,typhoid and paratyphoid fevers
a0104,typhoid arthritis,a01,typhoid and paratyphoid fevers
a0105,typhoid osteomyelitis,a01,typhoid and paratyphoid fevers
a021,salmonella sepsis,a02,other salmonella infections
a0221,salmonella meningitis,a02,other salmonella infections
a0223,salmonella arthritis,a02,other salmonella infections
a0224,salmonella osteomyelitis,a02,other salmonella infections
a064,amebic liver abscess,a06,amebiasis
a065,amebic lung abscess,a06,amebiasis
a066,amebic brain abscess,a06,amebiasis
a072,cryptosporidiosis,a07,other protozoal intestinal diseases
a170,tuberculous meningitis,a17,tuberculosis of nervous system
a171,meningeal tuberculoma,a17,tuberculosis of nervous system
a1781,tuberculoma of brain and spinal cord,a17,tuberculosis of nervous system
a1782,tuberculous meningoencephalitis,a17,tuberculosis of nervous system
a1783,tuberculous neuritis,a17,tuberculosis of nervous system
a1789,other tuberculosis of nervous system,a17,tuberculosis of nervous system
a179,tuberculosis of nervous system unspecified,a17,tuberculosis of nervous system
a203,plague meningitis,a20,plague
a207,septicemic plague,a20,plague
a227,anthrax sepsis,a22,anthrax
a267,erysipelothrix sepsis,a26,erysipeloid
a2781,aseptic meningitis in leptospirosis,a27,leptospirosis
a310,pulmonary mycobacterial infection,a31,infection due to other mycobacteria
a312,disseminated mycobacterium aviumintracellulare complex dmac,a31,infection due to other mycobacteria
a3211,listerial meningitis,a32,listeriosis
a3212,listerial meningoencephalitis,a32,listeriosis
a327,listerial sepsis,a32,listeriosis
a3282,listerial endocarditis,a32,listeriosis
a34,obstetrical tetanus,a34,obstetrical tetanus
a35,other tetanus,a35,other tetanus
a3681,diphtheritic cardiomyopathy,a36,diphtheria
a381,scarlet fever with myocarditis,a38,scarlet fever
a390,meningococcal meningitis,a39,meningococcal infection
a391,waterhousefriderichsen syndrome,a39,meningococcal infection
a392,acute meningococcemia,a39,meningococcal infection
a393,chronic meningococcemia,a39,meningococcal infection
a394,meningococcemia unspecified,a39,meningococcal infection
a3950,meningococcal carditis unspecified,a39,meningococcal infection
a3951,meningococcal endocarditis,a39,meningococcal infection
a3952,meningococcal myocarditis,a39,meningococcal infection
a3953,meningococcal pericarditis,a39,meningococcal infection
a3981,meningococcal encephalitis,a39,meningococcal infection
a3983,meningococcal arthritis,a39,meningococcal infection
a3984,postmeningococcal arthritis,a39,meningococcal infection
a400,sepsis due to streptococcus group a,a40,streptococcal sepsis
a401,sepsis due to streptococcus group b,a40,streptococcal sepsis
a403,sepsis due to streptococcus pneumoniae,a40,streptococcal sepsis
a408,other streptococcal sepsis,a40,streptococcal sepsis
a409,streptococcal sepsis unspecified,a40,streptococcal sepsis
a4101,sepsis due to methicillin susceptible staphylococcus aureus,a41,other sepsis
a4102,sepsis due to methicillin resistant staphylococcus aureus,a41,other sepsis
a411,sepsis due to other specified staphylococcus,a41,other sepsis
a412,sepsis due to unspecified staphylococcus,a41,other sepsis
a413,sepsis due to hemophilus influenzae,a41,other sepsis
a414,sepsis due to anaerobes,a41,other sepsis
a4150,gramnegative sepsis unspecified,a41,other sepsis
a4151,sepsis due to escherichia coli e coli,a41,other sepsis
a4152,sepsis due to pseudomonas,a41,other sepsis
a4153,sepsis due to serratia,a41,other sepsis
a4159,other gramnegative sepsis,a41,other sepsis
a4181,sepsis due to enterococcus,a41,other sepsis
a4189,other specified sepsis,a41,other sepsis
a419,sepsis unspecified organism,a41,other sepsis
a427,actinomycotic sepsis,a42,actinomycosis
a4281,actinomycotic meningitis,a42,actinomycosis
a4282,actinomycotic encephalitis,a42,actinomycosis
a480,gas gangrene,a48,other bacterial diseases not elsewhere classified
a481,legionnaires disease,a48,other bacterial diseases not elsewhere classified
a483,toxic shock syndrome,a48,other bacterial diseases not elsewhere classified
a5004,early congenital syphilitic pneumonia,a50,congenital syphilis
a5040,late congenital neurosyphilis unspecified,a50,congenital syphilis
a5041,late congenital syphilitic meningitis,a50,congenital syphilis
a5042,late congenital syphilitic encephalitis,a50,congenital syphilis
a5043,late congenital syphilitic polyneuropathy,a50,congenital syphilis
a5044,late congenital syphilitic optic nerve atrophy,a50,congenital syphilis
a5045,juvenile general paresis,a50,congenital syphilis
a5049,other late congenital neurosyphilis,a50,congenital syphilis
a5054,late congenital cardiovascular syphilis,a50,congenital syphilis
a5055,late congenital syphilitic arthropathy,a50,congenital syphilis
a5141,secondary syphilitic meningitis,a51,early syphilis
a5200,cardiovascular syphilis unspecified,a52,late syphilis
a5201,syphilitic aneurysm of aorta,a52,late syphilis
a5202,syphilitic aortitis,a52,late syphilis
a5203,syphilitic endocarditis,a52,late syphilis
a5205,other cerebrovascular syphilis,a52,late syphilis
a5206,other syphilitic heart involvement,a52,late syphilis
a5209,other cardiovascular syphilis,a52,late syphilis
a5210,symptomatic neurosyphilis unspecified,a52,late syphilis
a5211,tabes dorsalis,a52,late syphilis
a5212,other cerebrospinal syphilis,a52,late syphilis
a5213,late syphilitic meningitis,a52,late syphilis
a5214,late syphilitic encephalitis,a52,late syphilis
a5215,late syphilitic neuropathy,a52,late syphilis
a5216,charcots arthropathy tabetic,a52,late syphilis
a5217,general paresis,a52,late syphilis
a5219,other symptomatic neurosyphilis,a52,late syphilis
a522,asymptomatic neurosyphilis,a52,late syphilis
a523,neurosyphilis unspecified,a52,late syphilis
a5440,gonococcal infection of musculoskeletal system unspecified,a54,gonococcal infection
a5441,gonococcal spondylopathy,a54,gonococcal infection
a5442,gonococcal arthritis,a54,gonococcal infection
a5443,gonococcal osteomyelitis,a54,gonococcal infection
a5449,gonococcal infection of other musculoskeletal tissue,a54,gonococcal infection
a5481,gonococcal meningitis,a54,gonococcal infection
a5482,gonococcal brain abscess,a54,gonococcal infection
a5483,gonococcal heart infection,a54,gonococcal infection
a5485,gonococcal peritonitis,a54,gonococcal infection
a5486,gonococcal sepsis,a54,gonococcal infection
a666,bone and joint lesions of yaws,a66,yaws
a6921,meningitis due to lyme disease,a69,other spirochetal infections
a6923,arthritis due to lyme disease,a69,other spirochetal infections
a800,acute paralytic poliomyelitis vaccineassociated,a80,acute poliomyelitis
a801,acute paralytic poliomyelitis wild virus imported,a80,acute poliomyelitis
a802,acute paralytic poliomyelitis wild virus indigenous,a80,acute poliomyelitis
a8030,acute paralytic poliomyelitis unspecified,a80,acute poliomyelitis
a8039,other acute paralytic poliomyelitis,a80,acute poliomyelitis
a804,acute nonparalytic poliomyelitis,a80,acute poliomyelitis
a809,acute poliomyelitis unspecified,a80,acute poliomyelitis
a820,sylvatic rabies,a82,rabies
a821,urban rabies,a82,rabies
a829,rabies unspecified,a82,rabies
a830,japanese encephalitis,a83,mosquitoborne viral encephalitis
a831,western equine encephalitis,a83,mosquitoborne viral encephalitis
a832,eastern equine encephalitis,a83,mosquitoborne viral encephalitis
a833,st louis encephalitis,a83,mosquitoborne viral encephalitis
a834,australian encephalitis,a83,mosquitoborne viral encephalitis
a835,california encephalitis,a83,mosquitoborne viral encephalitis
a836,rocio virus disease,a83,mosquitoborne viral encephalitis
a838,other mosquitoborne viral encephalitis,a83,mosquitoborne viral encephalitis
a839,mosquitoborne viral encephalitis unspecified,a83,mosquitoborne viral encephalitis
a840,far eastern tickborne encephalitis russian springsummer encephalitis,a84,tickborne viral encephalitis
a841,central european tickborne encephalitis,a84,tickborne viral encephalitis
a8481,powassan virus disease,a84,tickborne viral encephalitis
a8489,other tickborne viral encephalitis,a84,tickborne viral encephalitis
a849,tickborne viral encephalitis unspecified,a84,tickborne viral encephalitis
a850,enteroviral encephalitis,a85,other viral encephalitis not elsewhere classified
a851,adenoviral encephalitis,a85,other viral encephalitis not elsewhere classified
a852,arthropodborne viral encephalitis unspecified,a85,other viral encephalitis not elsewhere classified
a858,other specified viral encephalitis,a85,other viral encephalitis not elsewhere classified
a86,unspecified viral encephalitis,a86,unspecified viral encephalitis
a870,enteroviral meningitis,a87,viral meningitis
a871,adenoviral meningitis,a87,viral meningitis
a872,lymphocytic choriomeningitis,a87,viral meningitis
a878,other viral meningitis,a87,viral meningitis
a879,viral meningitis unspecified,a87,viral meningitis
a880,enteroviral exanthematous fever boston exanthem,a88,other viral infections of central nervous system not elsewhere classified
a888,other specified viral infections of central nervous system,a88,other viral infections of central nervous system not elsewhere classified
a89,unspecified viral infection of central nervous system,a89,unspecified viral infection of central nervous system
a922,venezuelan equine fever,a92,other mosquitoborne viral fevers
a9230,west nile virus infection unspecified,a92,other mosquitoborne viral fevers
a9231,west nile virus infection with encephalitis,a92,other mosquitoborne viral fevers
a9232,west nile virus infection with other neurologic manifestation,a92,other mosquitoborne viral fevers
a9239,west nile virus infection with other complications,a92,other mosquitoborne viral fevers
b003,herpesviral meningitis,b00,herpesviral herpes simplex infections
b004,herpesviral encephalitis,b00,herpesviral herpes simplex infections
b007,disseminated herpesviral disease,b00,herpesviral herpes simplex infections
b0082,herpes simplex myelitis,b00,herpesviral herpes simplex infections
b010,varicella meningitis,b01,varicella chickenpox
b0111,varicella encephalitis and encephalomyelitis,b01,varicella chickenpox
b0112,varicella myelitis,b01,varicella chickenpox
b020,zoster encephalitis,b02,zoster herpes zoster
b021,zoster meningitis,b02,zoster herpes zoster
b0224,postherpetic myelitis,b02,zoster herpes zoster
b050,measles complicated by encephalitis,b05,measles
b051,measles complicated by meningitis,b05,measles
b0601,rubella encephalitis,b06,rubella german measles
b0602,rubella meningitis,b06,rubella german measles
b0682,rubella arthritis,b06,rubella german measles
b1001,human herpesvirus 6 encephalitis,b10,other human herpesviruses
b1009,other human herpesvirus encephalitis,b10,other human herpesviruses
b150,hepatitis a with hepatic coma,b15,acute hepatitis a
b160,acute hepatitis b with deltaagent with hepatic coma,b16,acute hepatitis b
b162,acute hepatitis b without deltaagent with hepatic coma,b16,acute hepatitis b
b1711,acute hepatitis c with hepatic coma,b17,other acute viral hepatitis
b180,chronic viral hepatitis b with deltaagent,b18,chronic viral hepatitis
b181,chronic viral hepatitis b without deltaagent,b18,chronic viral hepatitis
b182,chronic viral hepatitis c,b18,chronic viral hepatitis
b188,other chronic viral hepatitis,b18,chronic viral hepatitis
b189,chronic viral hepatitis unspecified,b18,chronic viral hepatitis
b190,unspecified viral hepatitis with hepatic coma,b19,unspecified viral hepatitis
b1911,unspecified viral hepatitis b with hepatic coma,b19,unspecified viral hepatitis
b1921,unspecified viral hepatitis c with hepatic coma,b19,unspecified viral hepatitis
b20,human immunodeficiency virus hiv disease,b20,human immunodeficiency virus hiv disease
b250,cytomegaloviral pneumonitis,b25,cytomegaloviral disease
b251,cytomegaloviral hepatitis,b25,cytomegaloviral disease
b252,cytomegaloviral pancreatitis,b25,cytomegaloviral disease
b258,other cytomegaloviral diseases,b25,cytomegaloviral disease
b259,cytomegaloviral disease unspecified,b25,cytomegaloviral disease
b261,mumps meningitis,b26,mumps
b262,mumps encephalitis,b26,mumps
b263,mumps pancreatitis,b26,mumps
b2682,mumps myocarditis,b26,mumps
b2685,mumps arthritis,b26,mumps
